GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                                  
1827,42620556,784744,16.456,0.303,42.676149,-71.499772
1830,35735938,3350976,13.798,1.294,42.796313,-71.053436
1832,29420969,1250809,11.36,0.483,42.791114,-71.132859
1833,33307271,750792,12.86,0.29,42.727884,-70.982035
1834,23008823,1330579,8.884,0.514,42.7539,-71.015935
1835,20229133,2293288,7.811,0.885,42.751157,-71.094242
1840,1290418,200629,0.498,0.077,42.706763,-71.160403
1841,8000217,462413,3.089,0.179,42.712015,-71.164873
1843,8726314,579700,3.369,0.224,42.689974,-71.160383
1844,57547782,2037952,22.219,0.787,42.742751,-71.178588
1845,68133546,3720510,26.307,1.436,42.673909,-71.091334
1850,3521755,305884,1.36,0.118,42.656045,-71.303309
1851,8645552,115440,3.338,0.045,42.627812,-71.33533
1852,12828768,627325,4.953,0.242,42.631849,-71.295785
1854,10187868,1393284,3.934,0.538,42.649481,-71.348229
1860,21907317,1027094,8.458,0.397,42.838603,-71.011997
1862,23934204,1075785,9.241,0.415,42.578543,-71.295592
1863,11965479,841571,4.62,0.325,42.63378,-71.38947
1864,34031607,924521,13.14,0.357,42.578222,-71.084398
1867,25733366,47889,9.936,0.018,42.535183,-71.105423
1876,52988337,928653,20.459,0.359,42.611801,-71.227571
1879,43465170,3638879,16.782,1.405,42.667762,-71.42882
1880,17890500,1398521,6.908,0.54,42.501524,-71.067489
1886,78391639,2853997,30.267,1.102,42.585295,-71.439826
1887,43971840,464438,16.978,0.179,42.564647,-71.164516
1890,15621381,812592,6.031,0.314,42.452752,-71.144319
1901,641319,68752,0.248,0.027,42.460419,-70.946379
1902,6223889,235635,2.403,0.091,42.471039,-70.941535
1904,11708214,1303899,4.521,0.503,42.492456,-70.97393
1905,9219343,1195152,3.56,0.461,42.465998,-70.975792
1906,27987367,2592073,10.806,1.001,42.468432,-71.013946
1907,7864229,1107034,3.036,0.427,42.474287,-70.905908
1908,2708928,3559697,1.046,1.374,42.428256,-70.926041
1913,31761146,3785527,12.263,1.462,42.851284,-70.955837
1915,39091355,3958103,15.093,1.528,42.570269,-70.866996
1921,61010477,2188506,23.556,0.845,42.683108,-71.01833
1922,24831877,776281,9.588,0.3,42.757313,-70.914241
1923,34194573,2348714,13.203,0.907,42.574174,-70.950516
1929,36187049,5125496,13.972,1.979,42.6344,-70.777147
1930,67840395,13979425,26.193,5.397,42.61991,-70.681824
1937,189212,0,0.073,0,42.585723,-70.984051
1938,78817262,13930875,30.432,5.379,42.68386,-70.842666
1940,27320416,1710875,10.548,0.661,42.534118,-71.038574
1944,23902790,3207911,9.229,1.239,42.576636,-70.767154
1945,11359726,8556721,4.386,3.304,42.501835,-70.859126
1949,34846424,2668492,13.454,1.03,42.606666,-71.010316
1950,21621497,5985744,8.348,2.311,42.812358,-70.891095
1951,35652339,6826520,13.765,2.636,42.773351,-70.850211
1952,39895046,6104840,15.404,2.357,42.844793,-70.841476
1960,41432508,1461220,15.997,0.564,42.534202,-70.969734
1966,18108062,4166183,6.992,1.609,42.640714,-70.620249
1969,45304087,4366198,17.492,1.686,42.720877,-70.891222
1970,21002236,14198459,8.109,5.482,42.524435,-70.870859
1982,36737723,1887999,14.185,0.729,42.626223,-70.85723
1983,30880665,2324554,11.923,0.898,42.641379,-70.94344
1984,19840018,1248396,7.66,0.482,42.600595,-70.883406
1985,34838127,3299749,13.451,1.274,42.799516,-70.964411
2019,47523218,1424303,18.349,0.55,42.076682,-71.47449
2021,48682870,2114266,18.797,0.816,42.175737,-71.125385
